venue_1,venue_2,season_0,season_1,season_2,season_3,season_4,average_score_before_match_team2,win_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,win_percent_diff,ELO_before_match_team2,ELO_before_diff,draw_percent_before_team2,is_opponent_big6,average_score_before_match_team1,average_score_before_match_diff,Cluster,match_type,win_rate_type
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08164687127340489,0.4,0.4,0.7,0.1,0.2,0.5,0.25206601797926576,0.11687745184271339,0.2,0.0,2.4,1.0,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.9981189242706034,0.0,0.4,0.6,0.2,0.2,1.5000000000000002,-0.6366975013450277,0.7235153709368817,0.6,0.0,2.4,1.7999999999999998,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.7012955645894179,0.8,0.0,0.7,0.3,0.0,-0.5,1.0106392449785766,-0.17238910340186764,0.2,0.0,2.4,-0.2000000000000001,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08164687127340489,0.4,0.4,0.4,0.4,0.2,0.5,-0.16416674364958794,0.4510277039747574,0.2,0.0,2.6,1.2000000000000002,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8914712179314114,0.6,0.2,0.2,0.1,0.7,0.0,3.437334935651321,-1.393485419015056,0.2,1.0,2.6,0.6000000000000001,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.2680603731566056,0.0,0.6,0.6666666666666666,0.0,0.3333333333333333,0.9999999999999999,-2.11233265823299,1.6999746301676588,0.4,0.0,2.2,1.8000000000000005,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.7281774753846012,0.2,0.6,0.6,0.2,0.2,0.4999999999999997,-1.474678886560413,1.49484755475094,0.2,0.0,2.2,1.4,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.4582360264985992,0.2,0.4,0.5,0.4,0.1,0.4999999999999997,-1.098686906465465,1.2899663920844213,0.4,0.0,2.2,1.2000000000000002,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.8079432709286098,0.0,0.0,0.5,0.3,0.2,-0.5,0.0962870102378639,-0.4855766964693519,0.0,0.0,0.0,0.0,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2411784623614217,1.0,0.0,0.4,0.4,0.2,-2.9999999999999996,0.22886734984586188,-0.6456879032078404,0.0,0.0,0.0,-3.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.2411784623614217,1.0,0.0,0.3,0.3,0.4,-1.7499999999999998,0.3332643379065258,-0.6327208593160731,0.0,1.0,1.5,-1.5,0,Average Opponent,Diverse Win Rate
