result,venue,win_before_team1,win_before_team2,draw_before_team2,lose_before_team1,lose_before_team2,history_team1_lose_team2,is_opponent_big6
D,Away,0.6,0.0,0.2,0.0,0.8,0.1428571428571428,0
L,Away,0.6,0.0,0.6,0.0,0.4,0.1428571428571428,0
W,Home,0.6,0.8,0.2,0.2,0.0,0.1428571428571428,1
W,Home,0.6,0.6,0.2,0.2,0.2,0.0,1
D,Away,0.6,0.4,0.2,0.2,0.4,0.0,0
W,Away,0.4,0.6,0.2,0.2,0.2,0.2857142857142857,0
W,Home,0.6,0.6,0.2,0.2,0.2,0.2727272727272727,0
D,Home,0.8,0.2,0.4,0.0,0.4,0.125,0
W,Away,0.6,0.0,0.4,0.0,0.6,0.0769230769230769,0
W,Home,0.6,0.0,0.2,0.0,0.8,0.1333333333333333,0
W,Away,0.8,0.2,0.6,0.0,0.2,0.0769230769230769,1
W,Home,0.8,0.4,0.6,0.0,0.0,0.2307692307692307,0
D,Away,0.8,0.0,0.6,0.0,0.4,0.1111111111111111,0
D,Home,0.8,0.4,0.4,0.0,0.2,0.0,0
D,Away,0.6,0.4,0.2,0.0,0.4,0.0,0
D,Home,0.4,0.2,0.4,0.0,0.4,0.2,0
L,Away,0.2,0.6,0.4,0.0,0.0,0.1333333333333333,1
W,Away,0.0,0.0,0.2,0.2,0.8,0.2307692307692307,0
D,Home,0.2,0.8,0.0,0.2,0.2,0.25,1
L,Away,0.2,0.8,0.2,0.2,0.0,0.3333333333333333,1
W,Home,0.2,0.2,0.2,0.4,0.6,0.0,0
W,Away,0.4,0.0,0.2,0.4,0.8,0.0,0
W,Home,0.6,0.2,0.4,0.2,0.4,0.2666666666666666,0
W,Away,0.6,0.4,0.0,0.2,0.6,0.1111111111111111,0
W,Home,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0
L,Away,1.0,0.0,0.0,0.0,1.0,0.0714285714285714,0
W,Home,0.5,0.5,0.5,0.5,0.0,0.125,0
W,Away,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2142857142857142,0
W,Away,0.75,0.25,0.25,0.25,0.5,0.2142857142857142,0
L,Home,0.8,0.4,0.4,0.2,0.2,0.0,0
D,Away,0.6,0.4,0.2,0.4,0.4,0.1,0
W,Home,0.6,0.2,0.4,0.2,0.4,0.25,0
W,Away,0.6,0.4,0.0,0.2,0.6,0.25,0
D,Home,0.6,0.2,0.2,0.2,0.6,0.0,1
L,Away,0.4,0.4,0.0,0.2,0.6,0.0,0
W,Home,0.4,0.8,0.2,0.2,0.0,0.375,1
L,Home,0.6,0.4,0.2,0.2,0.4,0.0,0
L,Away,0.4,0.2,0.2,0.4,0.6,0.0714285714285714,1
W,Away,0.2,0.8,0.2,0.6,0.0,0.1875,1
W,Home,0.4,0.6,0.4,0.6,0.0,0.0,0
D,Away,0.6,0.2,0.4,0.4,0.4,0.1875,0
D,Home,0.4,0.4,0.6,0.4,0.0,0.2352941176470588,1
D,Away,0.4,0.6,0.4,0.2,0.0,0.0588235294117647,0
W,Home,0.4,0.2,0.2,0.0,0.6,0.0,0
W,Home,0.4,0.2,0.0,0.0,0.8,0.2,0
W,Away,0.4,0.0,0.2,0.0,0.8,1.0,0
D,Away,0.6,0.6,0.4,0.0,0.0,0.2352941176470588,0
D,Home,0.6,0.8,0.2,0.0,0.0,0.2307692307692307,0
D,Away,0.6,0.2,0.2,0.0,0.6,0.0,1
D,Home,0.4,0.4,0.4,0.0,0.2,0.0909090909090909,0
D,Home,0.2,0.4,0.2,0.0,0.4,0.1333333333333333,0
W,Away,0.0,0.0,0.2,0.0,0.8,0.1428571428571428,0
W,Home,0.2,0.4,0.2,0.0,0.4,0.2,0
W,Away,0.4,0.2,0.4,0.0,0.4,0.1176470588235294,0
W,Home,0.6,0.4,0.2,0.0,0.4,0.1333333333333333,1
W,Away,0.8,0.4,0.0,0.0,0.6,0.0,0
D,Away,1.0,1.0,0.0,0.0,0.0,0.2222222222222222,1
W,Home,0.8,0.2,0.4,0.0,0.4,0.1764705882352941,0
W,Away,0.8,0.2,0.6,0.0,0.2,0.0,0
L,Home,0.8,0.8,0.2,0.0,0.0,0.1764705882352941,1
D,Away,0.6,1.0,0.0,0.2,0.0,0.3529411764705882,1
W,Home,0.4,0.6,0.0,0.2,0.4,1.0,0
W,Away,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0
W,Home,1.0,0.0,0.0,0.0,1.0,0.0,0
L,Away,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1
