result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
W,Home,2012-2013,0.6000000000000001,0.6,-0.39999999999999997,0.0,0.2,0.6666666666666666,0.0,0.3333333333333333,0,1429.1073874227125,743.190244235592,1.2,1.4000000000000001
W,Home,2012-2013,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0,1169.49159872443,1004.0884051660917,0.6,2.4
W,Away,2012-2013,1.0,0.4,-0.4,0.0,0.6,0.8,0.2,0.0,0,1338.7086262188084,835.0638284431823,0.4,2.6
L,Home,2012-2013,0.4,0.0,0.0,0.0,0.4,0.4,0.2,0.4,1,2030.7020172957536,205.0638134160713,1.8,1.2
W,Away,2012-2013,0.8,0.2,-0.2,0.2,0.8,0.8,0.2,0.0,0,1212.5470292758953,975.4045949901058,0.2,2.1999999999999997
D,Away,2012-2013,0.4,0.4,-0.4,0.2,0.2,1.0,0.0,0.0,0,1403.8839979157185,858.7953747698773,1.6,0.7999999999999998
W,Home,2012-2013,0.0,0.2,0.0,0.2,0.2,0.8,0.2,0.0,0,1213.0355652010558,1074.2898944266367,2.0,0.0
D,Away,2012-2013,-0.20000000000000007,0.2,0.0,0.2,0.0,0.8,0.0,0.2,1,1897.6594380323863,389.8460697817759,2.6,-0.6000000000000001
L,Home,2012-2013,-0.19999999999999996,0.2,0.2,0.2,0.2,0.6,0.2,0.2,1,1935.534919918785,372.17775668499235,2.0,-0.3999999999999999
W,Home,2012-2013,0.2,0.6,-0.19999999999999996,0.2,0.2,0.6666666666666666,0.3333333333333333,0.0,0,1561.122289170648,690.6554485865945,1.2,0.40000000000000013
D,Away,2012-2013,0.2,0.2,0.2,0.2,0.6,0.8,0.2,0.0,0,1422.3989364058607,830.5300447255995,0.8,0.8
W,Away,2013-2014,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0,1500.0,0.0,0.0,0.0
D,Home,2013-2014,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,1,1568.75,-25.0,3.0,0.0
L,Away,2013-2014,-0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,1,1564.7447454340688,-19.198949086813627,3.0,-1.0
W,Home,2013-2014,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0,1477.886969248752,34.683738332299754,1.0,0.33333333333333326
L,Away,2013-2014,0.0,0.25,0.0,0.25,0.25,0.3333333333333333,0.1666666666666666,0.5,1,1559.9543484928558,-13.61479812249786,1.75,0.0
L,Home,2013-2014,0.2,0.4,-0.2,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1462.8122335310718,38.06378276052283,1.0,0.3999999999999999
W,Away,2013-2014,0.2,0.2,0.0,0.6,0.8,0.8333333333333334,0.1666666666666666,0.0,0,1339.1147877797266,127.10122390956144,0.2,0.6000000000000001
D,Home,2013-2014,-0.19999999999999996,0.2,-0.2,0.6,0.2,1.0,0.0,0.0,0,1578.2501152482955,-69.83610307244157,2.0,-0.8
W,Home,2013-2014,0.4,0.4,-0.2,0.4,0.6,0.8333333333333334,0.1666666666666666,0.0,0,1431.1714000528443,82.20112362444661,0.4,0.9999999999999999
W,Away,2013-2014,0.0,0.0,0.2,0.4,0.6,0.8333333333333334,0.1666666666666666,0.0,0,1431.5406651967917,105.82323564913509,1.2,0.19999999999999996
W,Home,2013-2014,-0.20000000000000007,0.2,0.0,0.2,0.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,1,1778.3574136705322,-192.41219705040635,2.6,-0.6000000000000001
D,Away,2013-2014,0.6000000000000001,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0,1419.200914227119,213.72454944553715,0.8,1.8
D,Away,2013-2014,0.19999999999999996,0.2,0.2,0.0,0.4,0.5,0.3333333333333333,0.1666666666666666,1,1493.6376011690452,152.9813936370556,1.4,0.8000000000000003
L,Home,2013-2014,0.19999999999999996,0.6,-0.19999999999999996,0.0,0.0,0.5,0.3333333333333333,0.1666666666666666,0,1671.7915880413857,-14.824937938619996,1.8,0.40000000000000013
L,Home,2013-2014,-0.4,0.0,0.4,0.2,0.2,0.5,0.3333333333333333,0.1666666666666666,0,1568.0643448197045,58.984921661652606,2.4,-0.7999999999999998
