result,venue,season,win_percent_before_team2,win_percent_diff,draw_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team1,average_score_before_match_team2,average_score_before_match_diff
L,Home,2002-2003,0.4,0.0,0.2,0.4,0.4,0.2,0.4,0,1296.258495669923,886.2654242371191,1.8,1.4,0.40000000000000013
W,Home,2002-2003,0.2,0.0,0.4,0.4,0.4,0.2,0.4,0,1530.408416765258,589.9935810695008,1.2,1.0,0.19999999999999996
W,Away,2002-2003,0.0,0.4,0.0,1.0,0.4,0.4,0.2,0,657.6530386640895,1465.99016415843,1.6,0.0,1.6
W,Home,2003-2004,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,1500.0,0.0,0.0,0.0,0.0
W,Away,2003-2004,0.0,1.0,0.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0,1468.75,62.5,3.0,0.0,3.0
W,Home,2003-2004,0.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0,1468.75,117.71752337129556,3.0,0.5,2.5
W,Away,2003-2004,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.0,1.0,0.0,0.0,1,1573.146849584237,38.5798493261841,3.0,2.333333333333333,0.666666666666667
D,Home,2003-2004,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,1581.174919013881,65.2576417980847,3.0,2.0,1.0
D,Away,2003-2004,0.8,0.0,0.0,0.2,0.5,0.1666666666666666,0.3333333333333333,1,1620.4486774219097,21.342669529427212,2.6,2.4,0.20000000000000018
W,Home,2003-2004,0.0,0.6,0.6,0.4,0.5,0.3333333333333333,0.1666666666666666,0,1445.9061295416411,197.419017132308,2.2,0.6,1.6
W,Away,2003-2004,0.6,0.0,0.2,0.2,0.2857142857142857,0.5714285714285714,0.1428571428571428,1,1551.0666344733563,107.44447850757547,2.2,2.0,0.20000000000000018
W,Home,2003-2004,0.8,-0.20000000000000007,0.2,0.0,0.3333333333333333,0.6666666666666666,0.0,1,1740.6337551789422,-41.50530774860681,2.2,2.6,-0.3999999999999999
D,Away,2003-2004,0.6,0.0,0.0,0.4,0.6666666666666666,0.0,0.3333333333333333,0,1567.7963090168416,166.2976639847907,2.2,1.8,0.40000000000000013
W,Away,2003-2004,0.2,0.39999999999999997,0.0,0.8,0.3333333333333333,0.1666666666666666,0.5,0,1380.7210423956085,364.5018380749809,2.2,0.6,1.6
W,Home,2003-2004,0.4,0.4,0.4,0.2,0.5,0.5,0.0,1,1425.6571100983567,397.50483085009523,2.6,1.6,1.0
W,Away,2003-2004,0.2,0.6000000000000001,0.6,0.2,1.0,0.0,0.0,0,1620.417067637817,208.50131956592782,2.6,1.2,1.4000000000000001
D,Home,2003-2004,0.4,0.4,0.0,0.6,1.0,0.0,0.0,0,1518.673411133325,377.4944757101314,2.6,1.2,1.4000000000000001
D,Away,2003-2004,0.6,0.0,0.2,0.2,0.75,0.25,0.0,0,1435.2516373403676,441.02617044478757,2.2,2.0,0.20000000000000018
W,Home,2003-2004,0.6,0.0,0.0,0.4,0.25,0.25,0.5,0,1382.002135820126,515.6163786187087,2.2,1.8,0.40000000000000013
D,Away,2003-2004,0.6,0.0,0.2,0.2,0.5,0.5,0.0,0,1453.655770430241,447.0181666805272,2.2,2.0,0.20000000000000018
W,Home,2003-2004,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0,1219.09934621309,703.0305705544129,1.8,0.4,1.4
W,Away,2003-2004,0.6,-0.19999999999999996,0.0,0.4,0.5,0.1666666666666666,0.3333333333333333,0,1579.3564655820876,344.27627396618846,1.8,1.8,0.0
D,Away,2003-2004,0.6,0.0,0.2,0.2,0.7142857142857143,0.0,0.2857142857142857,0,1484.2439354333756,494.31845123196126,2.2,2.0,0.20000000000000018
